ArticleID,Title,Tier,TopicTag,NotificationTags,Subtitle,LearningGoal,MinReviews,Ceiling,ArticlePageURL,FeedbackFormURL
103,Attachment Is the Real Risk,T100,Assumptions,,Once something is yours — honest feedback on it starts to feel personal.,Recognize when emotional attachment to a direction is affecting your ability to evaluate it honestly.,1,2,,
105,Iteration,T100,Assumptions,,Recognize whether a second version was shaped by what the first revealed.,Recognize whether a second version was genuinely shaped by what the first revealed — or just refined from preference.,1,2,,
106,Sketching / Quick Visualization,T100,Prototyping,,When an idea only exists in your words — pushing back on it means pushing back on you.,Recognize when a quick sketch would move a conversation faster than words — and know how to make one.,1,2,,
113,Defining Success,T100,Research,,You shipped on time — the demo went well — and nobody can agree on whether it worked.,Write a checkable success statement before work begins so you can evaluate what you built against what you meant to build.,1,2,,
123,What Usability Testing Is,T100,Research,,Learning what works vs. collecting what people think should work — not the same thing.,Tell the difference between observing usability and collecting opinions — so you know what kind of evidence you're getting.,1,2,,
132,Prototype Fidelity,T100,Prototyping,,When the prototype looks finished — people stop questioning whether the direction is right.,Recognize when prototype fidelity is sending the wrong signal — and choose the right level of finish for the question you're asking.,1,2,,
147,AI as Execution Partner,T100,AI,,The output looked complete — everyone moved on — and nobody asked if it was right.,Recognize which part of a task AI can accelerate and which part requires your judgment — so output speed doesn't replace critical evaluation.,1,2,,
157,Why You Don't Help During Testing,T100,Research,Facilitation,The participant is going in circles and you know exactly what to tell them. You can't.,Recognize the moment when helping a participant would corrupt your evidence — and hold back.,1,2,,
158,Task Statement Design,T100,Research,Facilitation,You wrote it to be clear. What you wrote was a hint.,Write a usability task that puts participants in a real situation without revealing the interface path they're supposed to find.,1,2,,
159,Observation Effect,T100,Research,,Someone behaves differently when they know they're being watched. So do you.,Recognize when participant behavior in a session is being shaped by being observed — so you read findings accurately.,1,2,,
174,Think-Aloud Protocol,T100,Research,Facilitation,You ask someone to think aloud and they go quiet at exactly the wrong moment.,Recognize when a participant is genuinely thinking aloud versus narrating after the fact — so you know what their words are actually telling you.,1,2,,
177,What a Prototype Is,T100,Prototyping,,You've spent a week on it and the first question back is whether this is even the right approach.,Recognize a prototype by its purpose — answering a specific question cheaply before committing — not by its form or tool.,1,2,,
178,Prototype vs MVP,T100,Prototyping,,Nobody plans to keep the prototype forever. It just happens.,Tell the difference between a prototype and an MVP — and catch the failure mode of building one when you mean the other.,1,2,,
266,No UI as Design Goal,T100,AI,Prototyping,The first AI design conversation is about where the panel goes. Nobody's asked whether it needs one.,Recognize when the absence of a visible interface is a deliberate design decision — not a missing piece.,1,2,,
215a,Moderated Usability Session,T200,Research,Facilitation,Run a session so you learn where people get stuck — without your help.,Run a moderated usability session so you learn where people actually get stuck — without your help leading them there.,2,3,,
215b,Unmoderated Usability Testing,T200,Research,,Find out where people get stuck without watching them in real time.,Set up and run unmoderated usability testing so you get behavioral data without being in the room.,2,3,,
219,AI for Design Work,T200,AI,Prototyping,AI generates fast. Knowing whether to use what it generated takes something else entirely.,Use AI to accelerate specific design tasks while maintaining judgment over what you keep — modify — or discard.,2,3,,
309a,Paper Sketch Prototype,T200,Prototyping,,The room tells you how to refine what you showed. It doesn't tell you whether to build it at all.,Build and test a paper prototype in under thirty minutes — before any digital tools — and get real feedback the same day.,2,3,,
309b,Lo-fi Wireframe Prototype,T200,Prototyping,,Visual design guides users through a broken structure. A wireframe tests it before design can cover for it.,Build a navigable wireframe that tests whether users can reach their goal — without visual design choices obscuring whether the structure works.,2,3,,
309c,AI-Generated Prototype,T200,Prototyping,AI,It generated fast. Nobody stopped to ask whether it was generating the right thing.,Use AI to build a functional prototype while controlling for the failure mode where generation speed replaces validation of the question.,2,3,,
309d,Wizard of Oz Prototype,T200,Prototyping,AI,Nobody's sure yet whether users will actually trust the AI feature. Now you can find out.,Simulate an AI feature's behavior manually in a live session — before the algorithm exists — to learn whether users find it useful and trustworthy.,2,3,,
309e,Conversational Prototype,T200,Prototyping,AI,Script and simulate a conversational flow before writing any code.,Script and test a conversational flow with a real person before writing any code — so dialogue failures surface in a session instead of production.,2,3,,
309f,High Fidelity Prototype,T200,Prototyping,,A hi-fi prototype doesn't just look more finished. It changes what feedback you get — and what you miss.,Build a hi-fi prototype scoped to the questions only visual quality can answer — and separate visual feedback from structural feedback.,2,3,,
309g,Service Prototype,T200,Prototyping,,Every step worked. The journey failed anyway.,Prototype the full end-to-end service journey — not just the screen — so failures across touchpoints surface before the service launches.,2,3,,
309h,Parallel Prototyping,T200,Prototyping,,You asked "does this work?" The question you needed was "which approach works better?",Test two or more genuinely different directions simultaneously to get comparative data — not optimization data within one direction.,2,3,,
309i,Build to Think,T200,Prototyping,,Wireframes show what you intend. Running code shows what's true.,Write shallow real code to answer a design question that can only be answered by touching the system — and know when that's faster than describing the answer.,2,3,,
